iter	Logloss
0	0.6305761246
1	0.565358027
2	0.5210194087
3	0.4688505215
4	0.426341152
5	0.3928661824
6	0.3736974471
7	0.348093214
8	0.3217364648
9	0.3060425277
10	0.2861551542
11	0.2716964531
12	0.2560371476
13	0.2453430338
14	0.2278724233
15	0.2167743823
16	0.2044094239
17	0.1943425944
18	0.1827532695
19	0.1721075878
20	0.1646500411
21	0.1576117524
22	0.1500533385
23	0.1425017083
24	0.1371184197
25	0.1330158538
26	0.1270240876
27	0.1211704874
28	0.1171995528
29	0.1116785715
30	0.1091744097
31	0.1058876791
32	0.1010671587
33	0.09777085235
34	0.09448090134
35	0.09134330492
36	0.0871109115
37	0.08594071613
38	0.08346487245
39	0.08009914395
40	0.07683174654
41	0.07386069779
42	0.07123640376
43	0.06982556072
44	0.06738907266
45	0.06490233848
46	0.06247054118
47	0.06088655382
48	0.06070973864
49	0.05865113046
50	0.05627247251
51	0.05334013323
52	0.05159010404
53	0.0500294942
54	0.04823872491
55	0.04646011738
56	0.04482458455
57	0.04346886509
58	0.04239935906
59	0.04130104232
60	0.04007906259
61	0.03923413428
62	0.03839699273
63	0.03745825527
64	0.03670118132
65	0.03583226874
66	0.03504750085
67	0.03389963628
68	0.03282050026
69	0.03221533487
70	0.03148290376
71	0.03069552224
72	0.03013758208
73	0.0294680292
74	0.02866530067
75	0.02799178722
76	0.02758354883
77	0.02700941921
78	0.02666060604
79	0.02629888613
80	0.02576341719
81	0.02541248672
82	0.02486364878
83	0.02454040569
84	0.02402526391
85	0.02347416545
86	0.02289918684
87	0.02244170518
88	0.02219411361
89	0.02186154528
90	0.02148938265
91	0.02122168515
92	0.02082747861
93	0.02031192581
94	0.0200137023
95	0.0197302685
96	0.0194986772
97	0.0192897731
98	0.0190588999
99	0.01884517982
100	0.01866109725
101	0.01850607197
102	0.01831793845
103	0.01792842501
104	0.01776585265
105	0.01757035922
106	0.01730356118
107	0.01711050388
108	0.01679993324
109	0.01656077877
110	0.01643841767
111	0.01629081892
112	0.01613622532
113	0.01597964733
114	0.01585126387
115	0.01571162099
116	0.01557768918
117	0.01544934468
118	0.01524406961
119	0.01510956239
120	0.01490150359
121	0.01473815148
122	0.01457614584
123	0.01435252054
124	0.0142259528
125	0.01406055962
126	0.01388019445
127	0.01350495155
128	0.01341282268
129	0.01328646278
130	0.01311376486
131	0.0130085375
132	0.01291304676
133	0.01281807226
134	0.0127188552
135	0.01257125612
136	0.01245671005
137	0.01218191765
138	0.01208903119
139	0.0119964253
140	0.01189607129
141	0.01179068294
142	0.01166327549
143	0.01159958689
144	0.01151645813
145	0.0114179693
146	0.01129421304
147	0.01121743693
148	0.01114426689
149	0.01104142741
150	0.01096067222
151	0.0108847666
152	0.01082718482
153	0.01074853063
154	0.01066059411
155	0.01060959706
156	0.01054573118
157	0.01048150097
158	0.01041180996
159	0.01027961475
160	0.01020378344
161	0.01014387267
162	0.01008108708
163	0.01003010854
164	0.009960954336
165	0.009909945736
166	0.009822945274
167	0.009757701327
168	0.009703357637
169	0.009647088802
170	0.009562416985
171	0.009503968452
172	0.009429482597
173	0.009375745433
174	0.009314520748
175	0.00926448762
176	0.009201863929
177	0.009121849027
178	0.009080761731
179	0.009014858151
180	0.008943517253
181	0.008897535195
182	0.008836772347
183	0.008773390023
184	0.008733824158
185	0.008673448238
186	0.008614963013
187	0.008576145409
188	0.008516488116
189	0.008469928453
190	0.008394899116
191	0.008358034665
192	0.008306883903
193	0.008238440248
194	0.008202616839
195	0.00816879642
196	0.008122495818
197	0.008048608535
198	0.008007532863
199	0.007942212884
200	0.007886926424
201	0.007851868208
202	0.007802718925
203	0.007769073879
204	0.007727646855
205	0.007689846744
206	0.007654418962
207	0.007617961536
208	0.007552084653
209	0.007507006655
210	0.007466032334
211	0.007426991212
212	0.007384452671
213	0.007348625822
214	0.007291233327
215	0.007210731058
216	0.007178064242
217	0.00713770715
218	0.007097675793
219	0.00705496994
220	0.007026030708
221	0.006999706819
222	0.0069583153
223	0.006931903423
